Month of Order Date	Category	Country/Region	State	Sales	City	Customer ID	Customer Name	Number of Records	Order Date	Order ID	Postal Code	Product ID	Product Name	Profit	Quantity	Quantity (bin)	Region	Row ID	Sales Agent ID	Ship Date	Ship Mode	Sub-Category
October 2016	Office Supplies	United States	California	$21.39	San Francisco	DN-13690	Duane Noonan	1	10/12/2016	CA-139451-2016_10_12	94122	OFF-ST-10002370	Sortfiler Multipurpose Personal File Organizer, Black	$6	1	0	West	83	4	10/16/2016	Standard Class	Storage
August 2016	Office Supplies	United States	Ohio	$40.10	Columbus	RC-19960	Ryan Crowe	1	8/25/2016	CA-115259-2016_08_25	43229	OFF-FA-10000621	OIC Colored Binder Clips, Assorted Sizes	$12	14	14	East	114	34	8/27/2016	Second Class	Fasteners
August 2016	Office Supplies	United States	Ohio	$4.72	Columbus	RC-19960	Ryan Crowe	1	8/25/2016	CA-115259-2016_08_25	43229	OFF-EN-10002600	Redi-Strip #10 Envelopes, 4 1/8 x 9 1/2	$1	2	2	East	115	34	8/27/2016	Second Class	Envelopes
August 2016	Office Supplies	United States	Ohio	$23.98	Columbus	RC-19960	Ryan Crowe	1	8/25/2016	CA-115259-2016_08_25	43229	OFF-PA-10004965	Xerox 1921	$7	3	2	East	116	34	8/27/2016	Second Class	Paper
August 2016	Office Supplies	United States	Ohio	$130.46	Columbus	RC-19960	Ryan Crowe	1	8/25/2016	CA-115259-2016_08_25	43229	OFF-EN-10002504	Tyvek  Top-Opening Peel & Seel Envelopes, Plain White	$39	6	6	East	117	34	8/27/2016	Second Class	Envelopes
December 2016	Furniture	United States	Texas	$600.56	Houston	AD-10180	Alan Dominguez	1	12/26/2016	US-152030-2016_12_26	77041	FUR-CH-10004063	Global Deluxe High-Back Manager's Chair	$180	3	2	Central	125	42	12/28/2016	Second Class	Chairs
September 2016	Furniture	United States	Illinois	$617.70	Bloomington	PF-19165	Philip Fox	1	9/20/2016	US-134614-2016_09_20	61701	FUR-TA-10004534	Bevis 44 x 96 Conference Tables	$185	6	6	Central	126	12	9/25/2016	Standard Class	Tables
October 2016	Furniture	United States	Ohio	$93.89	Newark	MG-17680	Maureen Gastineau	1	10/22/2016	CA-110072-2016_10_22	43055	FUR-FU-10000521	"Seth Thomas 14"" Putty-Colored Wall Clock"	$28	4	4	East	147	34	10/28/2016	Standard Class	Furnishings
March 2016	Furniture	United States	Washington	$457.57	Seattle	DB-13060	Dave Brooks	1	3/1/2016	CA-104269-2016_03_01	98115	FUR-CH-10004063	Global Deluxe High-Back Manager's Chair	$137	2	2	West	158	46	3/6/2016	Second Class	Chairs
September 2016	Office Supplies	United States	Texas	$9.94	San Antonio	BM-11140	Becky Martin	1	9/8/2016	CA-139892-2016_09_08	78207	OFF-AR-10004441	BIC Brite Liner Highlighters	$3	3	2	Central	165	42	9/12/2016	Standard Class	Art
September 2016	Technology	United States	Texas	$8,159.95	San Antonio	BM-11140	Becky Martin	1	9/8/2016	CA-139892-2016_09_08	78207	TEC-MA-10000822	Lexmark MX611dhe Monochrome Laser Printer	$2,448	8	8	Central	166	42	9/12/2016	Standard Class	Machines
September 2016	Office Supplies	United States	Texas	$275.93	San Antonio	BM-11140	Becky Martin	1	9/8/2016	CA-139892-2016_09_08	78207	OFF-ST-10000991	Space Solutions HD Industrial Steel Shelving.	$83	3	2	Central	167	42	9/12/2016	Standard Class	Storage
September 2016	Furniture	United States	Texas	$1,740.06	San Antonio	BM-11140	Becky Martin	1	9/8/2016	CA-139892-2016_09_08	78207	FUR-CH-10004287	SAFCO Arco Folding Chair	$522	9	8	Central	168	42	9/12/2016	Standard Class	Chairs
September 2016	Office Supplies	United States	Texas	$32.06	San Antonio	BM-11140	Becky Martin	1	9/8/2016	CA-139892-2016_09_08	78207	OFF-AR-10002656	Sanford Liquid Accent Highlighters	$10	6	6	Central	169	42	9/12/2016	Standard Class	Art
September 2016	Office Supplies	United States	Texas	$177.98	San Antonio	BM-11140	Becky Martin	1	9/8/2016	CA-139892-2016_09_08	78207	OFF-AP-10002518	Kensington 7 Outlet MasterPiece Power Center	$53	5	4	Central	170	42	9/12/2016	Standard Class	Appliances
September 2016	Technology	United States	Texas	$143.98	San Antonio	BM-11140	Becky Martin	1	9/8/2016	CA-139892-2016_09_08	78207	TEC-PH-10003931	JBL Micro Wireless Portable Bluetooth Speaker	$43	3	2	Central	171	42	9/12/2016	Standard Class	Phones
August 2016	Office Supplies	United States	California	$20.94	Los Angeles	CS-12130	Chad Sievert	1	8/5/2016	CA-118962-2016_08_05	90004	OFF-PA-10000659	Adams Phone Message Book, Professional, 400 Message Capacity, 5 3/6Ó x 11Ó	$6	3	2	West	172	4	8/9/2016	Standard Class	Paper
August 2016	Office Supplies	United States	California	$110.96	Los Angeles	CS-12130	Chad Sievert	1	8/5/2016	CA-118962-2016_08_05	90004	OFF-PA-10001144	Xerox 1913	$33	2	2	West	173	4	8/9/2016	Standard Class	Paper
August 2016	Furniture	United States	California	$340.14	Los Angeles	CS-12130	Chad Sievert	1	8/5/2016	CA-118962-2016_08_05	90004	FUR-CH-10003817	Global Value Steno Chair, Gray	$102	7	6	West	174	4	8/9/2016	Standard Class	Chairs
September 2016	Office Supplies	United States	Illinois	$52.45	Chicago	JB-15400	Jennifer Braxton	1	9/14/2016	US-100853-2016_09_14	60623	OFF-AP-10000891	Kensington 7 Outlet MasterPiece HOMEOFFICE Power Control Center	$16	2	2	Central	175	12	9/19/2016	Standard Class	Appliances
September 2016	Office Supplies	United States	Illinois	$20.16	Chicago	JB-15400	Jennifer Braxton	1	9/14/2016	US-100853-2016_09_14	60623	OFF-LA-10003148	Avery 51	$6	4	4	Central	176	12	9/19/2016	Standard Class	Labels
December 2016	Office Supplies	United States	Illinois	$24.82	Decatur	DK-13150	David Kendrick	1	12/5/2016	CA-166191-2016_12_05	62521	OFF-ST-10003455	Tenex File Box, Personal Filing Tote with Lid, Black	$7	2	2	Central	181	12	12/9/2016	Second Class	Storage
December 2016	Technology	United States	Illinois	$408.74	Decatur	DK-13150	David Kendrick	1	12/5/2016	CA-166191-2016_12_05	62521	TEC-AC-10004659	ImationÊSecure+ Hardware Encrypted USB 2.0ÊFlash Drive; 16GB	$123	7	6	Central	182	12	12/9/2016	Second Class	Accessories
November 2016	Technology	United States	Louisiana	$503.96	Monroe	RM-19675	Robert Marley	1	11/19/2016	CA-158274-2016_11_19	71203	TEC-PH-10003273	AT&T TR1909W	$151	4	4	South	183	17	11/24/2016	Second Class	Phones
November 2016	Technology	United States	Louisiana	$149.95	Monroe	RM-19675	Robert Marley	1	11/19/2016	CA-158274-2016_11_19	71203	TEC-PH-10004896	Nokia Lumia 521 (T-Mobile)	$45	5	4	South	184	17	11/24/2016	Second Class	Phones
November 2016	Technology	United States	Louisiana	$29.00	Monroe	RM-19675	Robert Marley	1	11/19/2016	CA-158274-2016_11_19	71203	TEC-AC-10002345	HP Standard 104 key PS/2 Keyboard	$9	2	2	South	185	17	11/24/2016	Second Class	Accessories
August 2016	Technology	United States	California	$176.80	Los Angeles	FM-14290	Frank Merwin	1	8/26/2016	CA-123260-2016_08_26	90032	TEC-AC-10002323	SanDisk Ultra 32 GB MicroSDHC Class 10 Memory Card	$53	8	8	West	187	4	8/30/2016	Standard Class	Accessories
March 2016	Office Supplies	United States	Ohio	$7.41	Hamilton	CB-12025	Cassandra Brandow	1	3/21/2016	CA-140004-2016_03_21	45011	OFF-AR-10004685	Binney & Smith Crayola Metallic Colored Pencils, 8-Color Set	$2	2	2	East	196	34	3/25/2016	Standard Class	Art
March 2016	Office Supplies	United States	Ohio	$6.05	Hamilton	CB-12025	Cassandra Brandow	1	3/21/2016	CA-140004-2016_03_21	45011	OFF-AR-10004027	Binney & Smith inkTank Erasable Desk Highlighter, Chisel Tip, Yellow, 12/Box	$2	3	2	East	197	34	3/25/2016	Standard Class	Art
August 2016	Furniture	United States	Colorado	$218.75	Denver	BS-11755	Bruce Stewart	1	8/3/2016	CA-133690-2016_08_03	80219	FUR-TA-10004289	BoxOffice By Design Rectangular and Half-Moon Meeting Room Tables	$66	2	2	West	202	5	8/5/2016	First Class	Tables
August 2016	Office Supplies	United States	Colorado	$2.60	Denver	BS-11755	Bruce Stewart	1	8/3/2016	CA-133690-2016_08_03	80219	OFF-AP-10003622	Bravo II Megaboss 12-Amp Hard Body Upright, Replacement Belts, 2 Belts per Pack	$1	1	0	West	203	5	8/5/2016	First Class	Appliances
September 2016	Office Supplies	United States	North Carolina	$18.65	Charlotte	EA-14035	Erin Ashbrook	1	9/13/2016	US-156216-2016_09_13	28205	OFF-BI-10001679	GBC Instant Index System for Binding Systems	$6	7	6	South	231	32	9/17/2016	Standard Class	Binders
June 2016	Furniture	United States	Minnesota	$2,001.86	Lakeville	DW-13480	Dianna Wilson	1	6/1/2016	CA-131926-2016_06_01	55044	FUR-CH-10004063	Global Deluxe High-Back Manager's Chair	$601	7	6	Central	245	22	6/6/2016	Second Class	Chairs
June 2016	Office Supplies	United States	Minnesota	$166.72	Lakeville	DW-13480	Dianna Wilson	1	6/1/2016	CA-131926-2016_06_01	55044	OFF-ST-10002276	Safco Steel Mobile File Cart	$50	2	2	Central	246	22	6/6/2016	Second Class	Storage
June 2016	Office Supplies	United States	Minnesota	$47.88	Lakeville	DW-13480	Dianna Wilson	1	6/1/2016	CA-131926-2016_06_01	55044	OFF-PA-10004082	Adams Telephone Message Book w/Frequently-Called Numbers Space, 400 Messages per Book	$14	6	6	Central	247	22	6/6/2016	Second Class	Paper
June 2016	Office Supplies	United States	Minnesota	$1,503.25	Lakeville	DW-13480	Dianna Wilson	1	6/1/2016	CA-131926-2016_06_01	55044	OFF-AP-10002945	Honeywell Enviracaire Portable HEPA Air Cleaner for 17' x 22' Room	$451	5	4	Central	248	22	6/6/2016	Second Class	Appliances
June 2016	Office Supplies	United States	Minnesota	$25.92	Lakeville	DW-13480	Dianna Wilson	1	6/1/2016	CA-131926-2016_06_01	55044	OFF-PA-10000061	Xerox 205	$8	4	4	Central	249	22	6/6/2016	Second Class	Paper
September 2016	Technology	United States	Texas	$3,059.98	Houston	SB-20290	Sean Braxton	1	9/19/2016	US-106992-2016_09_19	77036	TEC-MA-10000822	Lexmark MX611dhe Monochrome Laser Printer	$918	3	2	Central	263	42	9/21/2016	Second Class	Machines
September 2016	Technology	United States	Texas	$2,519.96	Houston	SB-20290	Sean Braxton	1	9/19/2016	US-106992-2016_09_19	77036	TEC-MA-10003353	Xerox WorkCentre 6505DN Laser Multifunction Printer	$756	7	6	Central	264	42	9/21/2016	Second Class	Machines
December 2016	Furniture	United States	Colorado	$300.42	Colorado Springs	KL-16555	Kelly Lampkin	1	12/26/2016	CA-111451-2016_12_26	80906	FUR-FU-10004091	"Howard Miller 13"" Diameter Goldtone Round Wall Clock"	$90	8	8	West	294	5	12/28/2016	First Class	Furnishings
December 2016	Furniture	United States	Colorado	$230.35	Colorado Springs	KL-16555	Kelly Lampkin	1	12/26/2016	CA-111451-2016_12_26	80906	FUR-CH-10001891	Global Deluxe Office Fabric Chairs	$69	3	2	West	295	5	12/28/2016	First Class	Chairs
December 2016	Furniture	United States	Colorado	$218.35	Colorado Springs	KL-16555	Kelly Lampkin	1	12/26/2016	CA-111451-2016_12_26	80906	FUR-FU-10002918	Eldon ClusterMat Chair Mat with Cordless Antistatic Protection	$66	3	2	West	296	5	12/28/2016	First Class	Furnishings
December 2016	Office Supplies	United States	Colorado	$78.60	Colorado Springs	KL-16555	Kelly Lampkin	1	12/26/2016	CA-111451-2016_12_26	80906	OFF-BI-10004593	Ibico Laser Imprintable Binding System Covers	$24	5	4	West	297	5	12/28/2016	First Class	Binders
December 2016	Office Supplies	United States	Colorado	$27.55	Colorado Springs	KL-16555	Kelly Lampkin	1	12/26/2016	CA-111451-2016_12_26	80906	OFF-FA-10004854	Vinyl Coated Wire Paper Clips in Organizer Box, 800/Box	$8	3	2	West	298	5	12/28/2016	First Class	Fasteners
December 2016	Office Supplies	United States	Michigan	$9.84	Taylor	KB-16600	Ken Brennan	1	12/30/2016	CA-130960-2016_12_30	48180	OFF-AR-10003651	Newell 350	$3	3	2	Central	306	21	1/4/2017	Standard Class	Art
June 2016	Office Supplies	United States	New Jersey	$45.48	Lakewood	CR-12625	Corey Roper	1	6/1/2016	CA-111003-2016_06_01	08701	OFF-BI-10001072	GBC Clear Cover, 8-1/2 x 11, unpunched, 25 covers per pack	$14	3	2	East	307	29	6/6/2016	Standard Class	Binders
June 2016	Office Supplies	United States	New Jersey	$289.20	Lakewood	CR-12625	Corey Roper	1	6/1/2016	CA-111003-2016_06_01	08701	OFF-AR-10002135	Boston Heavy-Duty Trimline Electric Pencil Sharpeners	$87	6	6	East	308	29	6/6/2016	Standard Class	Art
September 2016	Furniture	United States	New Jersey	$87.54	Hackensack	TS-21205	Thomas Seio	1	9/27/2016	CA-120887-2016_09_27	07601	FUR-FU-10001588	Deflect-o SuperTray Unbreakable Stackable Tray, Letter, Black	$26	3	2	East	314	29	10/3/2016	Standard Class	Furnishings
August 2016	Technology	United States	Florida	$178.38	Saint Petersburg	AG-10525	Andy Gerbode	1	8/9/2016	CA-167850-2016_08_09	33710	TEC-PH-10002398	AT&T 1070 Corded Phone	$54	2	2	South	315	9	8/16/2016	Standard Class	Phones
August 2016	Office Supplies	United States	Florida	$15.55	Saint Petersburg	AG-10525	Andy Gerbode	1	8/9/2016	CA-167850-2016_08_09	33710	OFF-PA-10001937	Xerox 21	$5	3	2	South	316	9	8/16/2016	Standard Class	Paper
December 2016	Office Supplies	United States	Pennsylvania	$99.14	Philadelphia	SP-20860	Sung Pak	1	12/28/2016	CA-164259-2016_12_28	19143	OFF-AR-10003373	Boston School Pro Electric Pencil Sharpener, 1670	$30	4	4	East	317	37	12/30/2016	First Class	Art
November 2016	Furniture	United States	New York	$135.88	New York City	NM-18445	Nathan Mautz	1	11/4/2016	CA-164973-2016_11_04	10024	FUR-CH-10002602	DMI Arturo Collection Mission-style Design Wood Chair	$41	1	0	East	318	31	11/9/2016	Standard Class	Chairs
November 2016	Technology	United States	New York	$3,991.98	New York City	NM-18445	Nathan Mautz	1	11/4/2016	CA-164973-2016_11_04	10024	TEC-MA-10002927	Canon imageCLASS MF7460 Monochrome Digital Laser Multifunction Copier	$1,198	2	2	East	319	31	11/9/2016	Standard Class	Machines
November 2016	Technology	United States	New York	$275.94	New York City	NM-18445	Nathan Mautz	1	11/4/2016	CA-164973-2016_11_04	10024	TEC-PH-10004093	Panasonic Kx-TS550	$83	6	6	East	320	31	11/9/2016	Standard Class	Phones
November 2016	Technology	United States	New York	$360.00	New York City	NM-18445	Nathan Mautz	1	11/4/2016	CA-164973-2016_11_04	10024	TEC-AC-10000892	NETGEAR N750 Dual Band Wi-Fi Gigabit Router	$108	4	4	East	321	31	11/9/2016	Standard Class	Accessories
November 2016	Office Supplies	United States	New York	$43.57	New York City	NM-18445	Nathan Mautz	1	11/4/2016	CA-164973-2016_11_04	10024	OFF-ST-10002974	Trav-L-File Heavy-Duty Shuttle II, Black	$13	1	0	East	322	31	11/9/2016	Standard Class	Storage
September 2016	Office Supplies	United States	California	$7.16	Long Beach	FA-14230	Frank Atkinson	1	9/19/2016	CA-156601-2016_09_19	90805	OFF-FA-10000624	OIC Binder Clips	$2	2	2	West	323	4	9/24/2016	Standard Class	Fasteners
July 2016	Office Supplies	United States	California	$7.71	San Francisco	AC-10420	Alyssa Crouse	1	7/12/2016	CA-129924-2016_07_12	94122	OFF-BI-10003314	Tuff Stuff Recycled Round Ring Binders	$2	2	2	West	338	4	7/17/2016	Standard Class	Binders
July 2016	Furniture	United States	California	$698.35	San Francisco	AC-10420	Alyssa Crouse	1	7/12/2016	CA-129924-2016_07_12	94122	FUR-TA-10004575	Hon 5100 Series Wood Tables	$210	3	2	West	339	4	7/17/2016	Standard Class	Tables
April 2016	Office Supplies	United States	Pennsylvania	$17.86	Philadelphia	JD-15895	Jonathan Doherty	1	4/13/2016	CA-122336-2016_04_13	19140	OFF-AR-10000122	Newell 314	$5	4	4	East	341	37	4/17/2016	Second Class	Art
April 2016	Office Supplies	United States	Pennsylvania	$509.97	Philadelphia	JD-15895	Jonathan Doherty	1	4/13/2016	CA-122336-2016_04_13	19140	OFF-BI-10003656	Fellowes PB200 Plastic Comb Binding Machine	$153	10	10	East	342	37	4/17/2016	Second Class	Binders
April 2016	Office Supplies	United States	Pennsylvania	$30.99	Philadelphia	JD-15895	Jonathan Doherty	1	4/13/2016	CA-122336-2016_04_13	19140	OFF-FA-10002780	Staples	$9	13	12	East	343		4/17/2016	Second Class	Fasteners
April 2016	Technology	United States	Pennsylvania	$71.93	Philadelphia	JD-15895	Jonathan Doherty	1	4/13/2016	CA-122336-2016_04_13	19140	TEC-PH-10000702	"Square Credit Card Reader, 4 1/2"" x 4 1/2"" x 1"", White"	$22	12	12	East	344	37	4/17/2016	Second Class	Phones
September 2016	Office Supplies	United States	California	$211.96	San Francisco	JD-16060	Julia Dunbar	1	9/24/2016	CA-123344-2016_09_24	94109	OFF-ST-10001713	Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black	$64	4	4	West	366	4	9/29/2016	Standard Class	Storage
July 2016	Office Supplies	United States	Arizona	$8.16	Tucson	AG-10900	Arthur Gainer	1	7/23/2016	US-119137-2016_07_23	85705	OFF-BI-10001982	Wilson Jones Custom Binder Spines & Labels	$2	5	4	West	373	2	7/27/2016	Standard Class	Binders
July 2016	Technology	United States	Arizona	$1,023.94	Tucson	AG-10900	Arthur Gainer	1	7/23/2016	US-119137-2016_07_23	85705	TEC-AC-10003911	NETGEAR AC1750 Dual Band GigabitÊSmart WiFi Router	$307	8	8	West	374	2	7/27/2016	Standard Class	Accessories
July 2016	Office Supplies	United States	Arizona	$9.24	Tucson	AG-10900	Arthur Gainer	1	7/23/2016	US-119137-2016_07_23	85705	OFF-AR-10000658	Newell 324	$3	1	0	West	375	2	7/27/2016	Standard Class	Art
July 2016	Technology	United States	Arizona	$479.04	Tucson	AG-10900	Arthur Gainer	1	7/23/2016	US-119137-2016_07_23	85705	TEC-AC-10002076	Microsoft Natural Keyboard Elite	$144	10	10	West	376	2	7/27/2016	Standard Class	Accessories
November 2016	Office Supplies	United States	Ohio	$2.62	Cincinnati	NG-18430	Nathan Gelder	1	11/24/2016	CA-115973-2016_11_24	45231	OFF-AR-10004757	Crayola Colored Pencils	$1	1	0	East	389	34	11/26/2016	First Class	Art
September 2016	Technology	United States	Washington	$246.38	Des Moines	JG-15115	Jack Garza	1	9/21/2016	US-135972-2016_09_21	98198	TEC-PH-10003012	Nortel Meridian M3904 Professional Digital phone	$74	2	2	West	392	46	9/23/2016	Second Class	Phones
September 2016	Technology	United States	Washington	$1,799.97	Des Moines	JG-15115	Jack Garza	1	9/21/2016	US-135972-2016_09_21	98198	TEC-CO-10002313	Canon PC1080F Personal Copier	$540	3	2	West	393	46	9/23/2016	Second Class	Copiers
June 2016	Office Supplies	United States	Illinois	$12.46	Peoria	BP-11095	Bart Pistole	1	6/7/2016	US-134971-2016_06_07	61604	OFF-BI-10003982	Wilson Jones Century Plastic Molded Ring Binders	$4	3	2	Central	394	12	6/10/2016	Second Class	Binders
December 2016	Office Supplies	United States	Florida	$9.57	Miami	LF-17185	Luke Foster	1	12/24/2016	CA-113166-2016_12_24	33180	OFF-PA-10001947	Xerox 1974	$3	2	2	South	403	9	12/26/2016	First Class	Paper
April 2016	Office Supplies	United States	North Carolina	$39.07	Wilmington	SP-20650	Stephanie Phelps	1	4/16/2016	CA-155208-2016_04_16	28403	OFF-AR-10003478	Avery Hi-Liter EverBold Pen Style Fluorescent Highlighters, 4/Pack	$12	6	6	South	404	32	4/20/2016	Standard Class	Art
June 2016	Technology	United States	Colorado	$196.75	Louisville	JE-15745	Joel Eaton	1	6/22/2016	CA-142048-2016_06_22	80027	TEC-AC-10004114	KeyTronicÊ6101 Series -ÊKeyboardÊ- Black	$59	6	6	West	422	5	6/25/2016	First Class	Accessories
September 2016	Technology	United States	New York	$69.99	New Rochelle	SD-20485	Shirley Daniels	1	9/12/2016	CA-101476-2016_09_12	10801	TEC-MA-10000029	Epson WorkForce WF-2530 All-in-One Printer, Copier Scanner	$21	1	0	East	428	31	9/13/2016	First Class	Machines
December 2016	Office Supplies	United States	Florida	$4.81	Jacksonville	MK-18160	Mike Kennedy	1	12/19/2016	US-150574-2016_12_19	32216	OFF-BI-10000773	Insertable Tab Post Binder Dividers	$1	2	2	South	435	9	12/25/2016	Standard Class	Binders
December 2016	Technology	United States	Florida	$247.80	Jacksonville	MK-18160	Mike Kennedy	1	12/19/2016	US-150574-2016_12_19	32216	TEC-AC-10002600	Belkin QODE FastFit Bluetooth Keyboard	$74	5	4	South	436	9	12/25/2016	Standard Class	Accessories
February 2016	Furniture	United States	California	$129.57	Concord	SC-20095	Sanjit Chand	1	2/12/2016	US-110674-2016_02_12	94521	FUR-CH-10000225	Global Geo Office Task Chair, Gray	$39	2	2	West	457	4	2/18/2016	Standard Class	Chairs
November 2016	Office Supplies	United States	California	$340.92	San Francisco	JP-15520	Jeremy Pistek	1	11/9/2016	CA-144666-2016_11_09	94110	OFF-ST-10002743	SAFCO Boltless Steel Shelving	$102	3	2	West	472	4	11/11/2016	Second Class	Storage
November 2016	Furniture	United States	California	$222.67	San Francisco	JP-15520	Jeremy Pistek	1	11/9/2016	CA-144666-2016_11_09	94110	FUR-BO-10001601	Sauder Mission Library with Doors, Fruitwood Finish	$67	2	2	West	473	4	11/11/2016	Second Class	Bookcases
November 2016	Technology	United States	California	$703.97	San Francisco	JP-15520	Jeremy Pistek	1	11/9/2016	CA-144666-2016_11_09	94110	TEC-PH-10002680	Samsung Galaxy Note 3	$211	4	4	West	474	4	11/11/2016	Second Class	Phones
November 2016	Office Supplies	United States	California	$92.52	San Francisco	JP-15520	Jeremy Pistek	1	11/9/2016	CA-144666-2016_11_09	94110	OFF-ST-10001321	Decoflex Hanging Personal Folder File, Blue	$28	6	6	West	475	4	11/11/2016	Second Class	Storage
November 2016	Office Supplies	United States	California	$62.65	San Francisco	JP-15520	Jeremy Pistek	1	11/9/2016	CA-144666-2016_11_09	94110	OFF-PA-10001509	"Recycled Desk Saver Line ""While You Were Out"" Book, 5 1/2"" X 4"""	$19	7	6	West	476	4	11/11/2016	Second Class	Paper
November 2016	Office Supplies	United States	California	$94.85	San Francisco	JP-15520	Jeremy Pistek	1	11/9/2016	CA-144666-2016_11_09	94110	OFF-PA-10003465	Xerox 1912	$28	5	4	West	477	4	11/11/2016	Second Class	Paper
October 2016	Technology	United States	California	$9.09	San Diego	XP-21865	Xylona Preis	1	10/6/2016	CA-134677-2016_10_06	92024	TEC-AC-10001445	ImationÊUSB 2.0 SwivelÊFlash DriveÊUSBÊflash driveÊ- 4 GB - Pink	$3	3	2	West	482	4	10/10/2016	Standard Class	Accessories
